image_path,group,overall_growth,leaf_distribution,branch_development
week_1/exposed/W1_EXP_001.jpg,exposed,early,sparse,none
week_1/exposed/W1_EXP_002.jpg,exposed,early,sparse,none
week_1/exposed/W1_EXP_003.jpg,exposed,early,sparse,none
week_1/exposed/W1_EXP_004.jpg,exposed,early,sparse,none
week_1/exposed/W1_EXP_005.jpg,exposed,early,sparse,none
week_1/exposed/W1_EXP_006.jpg,exposed,early,sparse,none
week_1/exposed/W1_EXP_007.jpg,exposed,early,sparse,none
week_1/exposed/W1_EXP_008.jpg,exposed,early,sparse,none
week_1/exposed/W1_EXP_009.jpg,exposed,mid,sparse,none
week_1/exposed/W1_EXP_010.jpg,exposed,early,moderate,none
week_1/exposed/W1_EXP_011.jpg,exposed,early,sparse,none
week_1/exposed/W1_EXP_012.jpg,exposed,mid,sparse,none
week_1/exposed/W1_EXP_013.jpg,exposed,early,sparse,none
week_1/exposed/W1_EXP_014.jpg,exposed,early,sparse,none
week_1/exposed/W1_EXP_015.jpg,exposed,early,sparse,none
week_1/exposed/W1_EXP_016.jpg,exposed,early,sparse,none
week_1/exposed/W1_EXP_017.jpg,exposed,early,sparse,none
week_1/exposed/W1_EXP_018.jpg,exposed,early,sparse,none
week_1/exposed/W1_EXP_019.jpg,exposed,early,sparse,none
week_1/exposed/W1_EXP_020.jpg,exposed,early,sparse,none
week_1/exposed/W1_EXP_021.jpg,exposed,mid,sparse,none
week_1/exposed/W1_EXP_022.jpg,exposed,early,moderate,none
week_1/exposed/W1_EXP_023.jpg,exposed,early,sparse,none
week_1/exposed/W1_EXP_024.jpg,exposed,early,sparse,none
week_1/exposed/W1_EXP_025.jpg,exposed,early,sparse,none
week_1/exposed/W1_EXP_026.jpg,exposed,early,moderate,none
week_1/exposed/W1_EXP_027.jpg,exposed,early,sparse,none
week_1/exposed/W1_EXP_028.jpg,exposed,early,sparse,none
week_1/exposed/W1_EXP_029.jpg,exposed,early,sparse,developing
week_1/exposed/W1_EXP_030.jpg,exposed,early,sparse,none
week_1/controlled/W1_CTL_001.jpg,controlled,early,sparse,none
week_1/controlled/W1_CTL_002.jpg,controlled,early,sparse,none
week_1/controlled/W1_CTL_003.jpg,controlled,mid,sparse,developing
week_1/controlled/W1_CTL_004.jpg,controlled,early,sparse,none
week_1/controlled/W1_CTL_005.jpg,controlled,early,sparse,none
week_1/controlled/W1_CTL_006.jpg,controlled,early,sparse,none
week_1/controlled/W1_CTL_007.jpg,controlled,early,moderate,none
week_1/controlled/W1_CTL_008.jpg,controlled,early,sparse,none
week_1/controlled/W1_CTL_009.jpg,controlled,mid,moderate,none
week_1/controlled/W1_CTL_010.jpg,controlled,early,sparse,none
week_1/controlled/W1_CTL_011.jpg,controlled,early,sparse,none
week_1/controlled/W1_CTL_012.jpg,controlled,early,sparse,none
week_1/controlled/W1_CTL_013.jpg,controlled,early,moderate,none
week_1/controlled/W1_CTL_014.jpg,controlled,early,sparse,none
week_1/controlled/W1_CTL_015.jpg,controlled,early,moderate,none
week_1/controlled/W1_CTL_016.jpg,controlled,early,sparse,none
week_1/controlled/W1_CTL_017.jpg,controlled,early,sparse,none
week_1/controlled/W1_CTL_018.jpg,controlled,early,sparse,none
week_1/controlled/W1_CTL_019.jpg,controlled,early,sparse,none
