plant_id,group,week,sunlight,temperature,water,height,leaves,branches
 
C01,Control,1,7.0,30.8,210,1.52,3,0
C01,Control,2,7.3,30.7,260,2.14,4,0
C01,Control,3,7.9,30.1,310,3.23,5,0
C01,Control,4,7.7,30.0,330,4.82,5,0
C01,Control,5,7.5,30.3,390,6.65,9,0
C01,Control,6,8.1,29.7,520,8.84,5,2
C01,Control,7,7.0,31.0,480,11.04,8,2
C01,Control,8,7.8,30.0,670,13.74,6,3
C01,Control,9,7.4,30.3,650,16.99,6,5
C01,Control,10,7.4,30.5,760,19.41,9,5
C01,Control,11,8.0,29.8,890,22.68,5,3
C01,Control,12,6.9,31.0,850,24.84,8,4
C02,Control,1,7.0,30.8,220,1.32,2,0
C02,Control,2,7.4,30.8,270,2.11,3,0
C02,Control,3,8.0,30.1,320,3.27,5,0
C02,Control,4,7.8,30.1,340,4.79,5,0
C02,Control,5,7.5,30.3,400,6.2,8,0
C02,Control,6,8.1,29.8,530,8.63,5,2
C02,Control,7,7.0,31.1,490,10.71,7,2
C02,Control,8,7.9,30.1,680,13.73,9,3
C02,Control,9,7.5,30.3,660,16.25,5,4
C02,Control,10,7.5,30.6,770,19.18,8,4
C02,Control,11,8.0,29.8,900,22.39,5,4
C02,Control,12,7.0,31.1,860,24.55,7,4
C03,Control,1,7.1,30.9,230,1.43,2,0
C03,Control,2,7.4,30.8,280,2.15,4,0
C03,Control,3,8.0,30.2,330,3.43,5,0
C03,Control,4,7.8,30.1,350,4.93,6,0
C03,Control,5,7.6,30.4,410,6.46,9,0
C03,Control,6,8.2,29.8,540,8.96,4,2
C03,Control,7,7.1,31.1,500,11.04,7,2
C03,Control,8,7.9,30.1,690,13.98,10,3
C03,Control,9,7.5,30.4,670,16.85,5,4
C03,Control,10,7.5,30.6,780,19.48,8,5
C03,Control,11,8.1,29.9,910,22.62,4,4
C03,Control,12,7.0,31.1,870,24.86,8,4
C04,Control,1,7.1,30.9,240,1.36,2,0
C04,Control,2,7.5,30.9,290,2.15,3,0
C04,Control,3,8.1,30.2,340,3.16,5,0
C04,Control,4,7.8,30.2,360,4.86,5,0
C04,Control,5,7.6,30.4,420,6.66,8,0
C04,Control,6,8.2,29.9,550,8.84,5,2
C04,Control,7,7.1,31.2,510,11.08,7,2
C04,Control,8,8.0,30.2,700,13.71,9,4
C04,Control,9,7.5,30.4,680,16.87,6,4
C04,Control,10,7.5,30.7,790,19.43,8,5
C04,Control,11,8.2,29.9,920,22.08,4,3
C04,Control,12,7.0,31.2,880,24.59,7,4
C05,Control,1,7.2,31.0,250,1.5,2,0
C05,Control,2,7.5,30.9,300,2.16,3,0
C05,Control,3,8.1,30.3,350,3.49,5,0
C05,Control,4,7.9,30.2,370,4.99,5,0
C05,Control,5,7.7,30.5,430,6.99,9,0
C05,Control,6,8.3,29.9,560,8.97,4,2
C05,Control,7,7.2,31.2,520,10.87,7,1
C05,Control,8,8.0,30.2,710,14.29,11,2
C05,Control,9,7.6,30.5,690,17.75,8,4
C05,Control,10,7.6,30.7,800,19.24,9,4
C05,Control,11,8.2,30.0,930,23.78,8,4
C05,Control,12,7.1,31.2,890,24.68,7,4
C06,Control,1,7.0,30.8,210,1.52,3,0
C06,Control,2,7.3,30.7,260,2.14,4,0
C06,Control,3,7.9,30.1,310,3.23,5,0
C06,Control,4,7.7,30.0,330,4.82,5,0
C06,Control,5,7.5,30.3,390,6.65,9,0
C06,Control,6,8.1,29.7,520,8.84,5,2
C06,Control,7,7.0,31.0,480,11.04,8,2
C06,Control,8,7.8,30.0,670,13.74,6,3
C06,Control,9,7.4,30.3,650,16.99,6,5
C06,Control,10,7.4,30.5,760,19.41,9,5
C06,Control,11,8.0,29.8,890,22.68,5,3
C06,Control,12,6.9,31.0,850,24.84,8,4
C07,Control,1,7.0,30.8,220,1.32,2,0
C07,Control,2,7.4,30.8,270,2.11,3,0
C07,Control,3,8.0,30.1,320,3.27,5,0
C07,Control,4,7.8,30.1,340,4.79,5,0
C07,Control,5,7.5,30.3,400,6.2,8,0
C07,Control,6,8.1,29.8,530,8.63,5,2
C07,Control,7,7.0,31.1,490,10.71,7,2
C07,Control,8,7.9,30.1,680,13.73,9,3
C07,Control,9,7.5,30.3,660,16.25,5,4
C07,Control,10,7.5,30.6,770,19.18,8,4
C07,Control,11,8.0,29.8,900,22.39,5,4
C07,Control,12,7.0,31.1,860,24.55,7,4
C08,Control,1,7.1,30.9,230,1.43,2,0
C08,Control,2,7.4,30.8,280,2.15,4,0
C08,Control,3,8.0,30.2,330,3.43,5,0
C08,Control,4,7.8,30.1,350,4.93,6,0
C08,Control,5,7.6,30.4,410,6.46,9,0
C08,Control,6,8.2,29.8,540,8.96,4,2
C08,Control,7,7.1,31.1,500,11.04,7,2
C08,Control,8,7.9,30.1,690,13.98,10,3
C08,Control,9,7.5,30.4,670,16.85,5,4
C08,Control,10,7.5,30.6,780,19.48,8,5
C08,Control,11,8.1,29.9,910,22.62,4,4
C08,Control,12,7.0,31.1,870,24.86,8,4
C09,Control,1,7.1,30.9,240,1.36,2,0
C09,Control,2,7.5,30.9,290,2.15,3,0
C09,Control,3,8.1,30.2,340,3.16,5,0
C09,Control,4,7.8,30.2,360,4.86,5,0
C09,Control,5,7.6,30.4,420,6.66,8,0
C09,Control,6,8.2,29.9,550,8.84,5,2
C09,Control,7,7.1,31.2,510,11.08,7,2
C09,Control,8,8.0,30.2,700,13.71,9,4
C09,Control,9,7.5,30.4,680,16.87,6,4
C09,Control,10,7.5,30.7,790,19.43,8,5
C09,Control,11,8.2,29.9,920,22.08,4,3
C09,Control,12,7.0,31.2,880,24.59,7,4
C10,Control,1,7.2,31.0,250,1.5,2,0
C10,Control,2,7.5,30.9,300,2.16,3,0
C10,Control,3,8.1,30.3,350,3.49,5,0
C10,Control,4,7.9,30.2,370,4.99,5,0
C10,Control,5,7.7,30.5,430,6.99,9,0
C10,Control,6,8.3,29.9,560,8.97,4,2
C10,Control,7,7.2,31.2,520,10.87,7,1
C10,Control,8,8.0,30.2,710,14.29,11,2
C10,Control,9,7.6,30.5,690,17.75,8,4
C10,Control,10,7.6,30.7,800,19.24,9,4
C10,Control,11,8.2,30.0,930,23.78,8,4
C10,Control,12,7.1,31.2,890,24.68,7,4
C11,Control,1,7.0,30.8,210,1.52,3,0
C11,Control,2,7.3,30.7,260,2.14,4,0
C11,Control,3,7.9,30.1,310,3.23,5,0
C11,Control,4,7.7,30.0,330,4.82,5,0
C11,Control,5,7.5,30.3,390,6.65,9,0
C11,Control,6,8.1,29.7,520,8.84,5,2
C11,Control,7,7.0,31.0,480,11.04,8,2
C11,Control,8,7.8,30.0,670,13.74,6,3
C11,Control,9,7.4,30.3,650,16.99,6,5
C11,Control,10,7.4,30.5,760,19.41,9,5
C11,Control,11,8.0,29.8,890,22.68,5,3
C11,Control,12,6.9,31.0,850,24.84,8,4
C12,Control,1,7.0,30.8,220,1.32,2,0
C12,Control,2,7.4,30.8,270,2.11,3,0
C12,Control,3,8.0,30.1,320,3.27,5,0
C12,Control,4,7.8,30.1,340,4.79,5,0
C12,Control,5,7.5,30.3,400,6.2,8,0
C12,Control,6,8.1,29.8,530,8.63,5,2
C12,Control,7,7.0,31.1,490,10.71,7,2
C12,Control,8,7.9,30.1,680,13.73,9,3
C12,Control,9,7.5,30.3,660,16.25,5,4
C12,Control,10,7.5,30.6,770,19.18,8,4
C12,Control,11,8.0,29.8,900,22.39,5,4
C12,Control,12,7.0,31.1,860,24.55,7,4
C13,Control,1,7.1,30.9,230,1.43,2,0
C13,Control,2,7.4,30.8,280,2.15,4,0
C13,Control,3,8.0,30.2,330,3.43,5,0
C13,Control,4,7.8,30.1,350,4.93,6,0
C13,Control,5,7.6,30.4,410,6.46,9,0
C13,Control,6,8.2,29.8,540,8.96,4,2
C13,Control,7,7.1,31.1,500,11.04,7,2
C13,Control,8,7.9,30.1,690,13.98,10,3
C13,Control,9,7.5,30.4,670,16.85,5,4
C13,Control,10,7.5,30.6,780,19.48,8,5
C13,Control,11,8.1,29.9,910,22.62,4,4
C13,Control,12,7.0,31.1,870,24.86,8,4
C14,Control,1,7.1,30.9,240,1.36,2,0
C14,Control,2,7.5,30.9,290,2.15,3,0
C14,Control,3,8.1,30.2,340,3.16,5,0
C14,Control,4,7.8,30.2,360,4.86,5,0
C14,Control,5,7.6,30.4,420,6.66,8,0
C14,Control,6,8.2,29.9,550,8.84,5,2
C14,Control,7,7.1,31.2,510,11.08,7,2
C14,Control,8,8.0,30.2,700,13.71,9,4
C14,Control,9,7.5,30.4,680,16.87,6,4
C14,Control,10,7.5,30.7,790,19.43,8,5
C14,Control,11,8.2,29.9,920,22.08,4,3
C14,Control,12,7.0,31.2,880,24.59,7,4
C15,Control,1,7.2,31.0,250,1.5,2,0
C15,Control,2,7.5,30.9,300,2.16,3,0
C15,Control,3,8.1,30.3,350,3.49,5,0
C15,Control,4,7.9,30.2,370,4.99,5,0
C15,Control,5,7.7,30.5,430,6.99,9,0
C15,Control,6,8.3,29.9,560,8.97,4,2
C15,Control,7,7.2,31.2,520,10.87,7,1
C15,Control,8,8.0,30.2,710,14.29,11,2
